subj_idx,ns,block_id,stim_id,rt,resp,corr_resp,acc,feedback,FBProb,stim_ctr,delay,early_late,pcor
268,4,7,0,0.646351,2,2,1,2,0.5,8.0,7,0,4
268,4,7,1,0.4229001,2,2,1,2,0.8,9.0,5,1,6
268,4,7,2,0.5437125,1,1,1,1,0.2,9.0,3,1,6
268,4,7,3,0.5004628,1,1,1,1,0.2,8.0,5,0,6
268,4,7,3,0.5542509,1,1,1,1,0.2,9.0,1,1,7
268,4,7,0,0.5422851,2,2,1,2,0.5,9.0,5,1,5
268,4,7,3,0.6907649,1,1,1,1,0.2,10.0,2,1,8
268,4,7,2,0.4164878,1,1,1,2,0.2,10.0,5,1,7
268,4,7,1,0.5228574,2,2,1,1,0.8,10.0,7,1,7
268,4,7,0,0.4476417,2,2,1,2,0.5,10.0,4,1,6
268,3,8,0,0.8552745,0,0,1,2,0.8,1.0,0,0,0
268,3,8,1,1.054347,0,1,0,0,0.5,1.0,0,0,0
268,3,8,2,0.9423187,1,2,0,0,0.2,1.0,0,0,0
268,3,8,1,1.0428927,1,1,1,1,0.5,2.0,0,0,0
268,3,8,0,1.2028541,0,0,1,2,0.8,2.0,4,-1,1
268,3,8,0,0.8774062,0,0,1,2,0.8,3.0,1,-1,2
268,3,8,2,0.6764535,0,2,0,0,0.2,2.0,0,0,0
268,3,8,1,0.5798953,1,1,1,2,0.5,3.0,4,-1,1
268,3,8,2,0.3903579,2,2,1,1,0.2,3.0,0,0,0
268,3,8,1,0.624189,1,1,1,2,0.5,4.0,2,-1,2
268,3,8,0,0.4647026,0,0,1,2,0.8,4.0,5,0,3
268,3,8,0,0.6806839,0,0,1,2,0.8,5.0,1,0,4
268,3,8,1,0.6156617,1,1,1,2,0.5,5.0,3,0,3
268,3,8,2,0.4736072,2,2,1,2,0.2,4.0,5,-1,1
268,3,8,2,0.7205101,2,2,1,1,0.2,5.0,1,-1,2
268,3,8,0,0.62129,0,0,1,2,0.8,6.0,4,0,5
268,3,8,0,0.6225581,0,0,1,2,0.8,7.0,1,0,6
268,3,8,1,0.4797005,1,1,1,2,0.5,6.0,5,0,4
268,3,8,1,0.5504308,1,1,1,2,0.5,7.0,1,0,5
268,3,8,2,0.587255,2,2,1,1,0.2,6.0,5,0,3
268,3,8,0,0.6216112,0,0,1,1,0.8,8.0,4,0,7
